CityName,Continent,Population1979,Popluation2019,AbsolutePopulationChange,RelativePopulationChange
Baghdad,Asia,3060000,6974000,3914000,127.91%
Beijing,Asia,9230687,21542000,12311313,133.37%
Berlin,Europe,3048759,3748148,699389,22.94%
Cairo,Africa,7348778,20484965,13136187,178.75%
Delhi,Asia,5587014,11034555,5447541,97.50%
Istanbul,Eurasia,2853500,15067724,12214224,428.04%
Jakarta,Asia,5984256,10638689,4654433,77.78%
Johannesburg,Africa,1783000,5635127,3852127,216.05%
Karachi,Asia,5047815,15741406,10693591,211.85%
Lagos,Africa,2572218,13903620,11331402,440.53%
Lima,South America,4437754,10554712,6116958,137.84%
London,Europe,6608513,8908081,2299568,34.80%
Los Angeles,North America,2968528,3990456,1021928,34.43%
Mexico City,North America,13027620,21671908,8644288,66.35%
Moscow,Eurasia,7830509,12506468,4675959,59.71%
Mumbai,Asia,9199543,20185064,10985521,119.41%
New York,North America,7071639,8398748,1327109,18.77%
Paris,Europe,2176243,2241346,65103,2.99%
Sao Paulo,South America,8587665,12176866,3589201,41.79%
Seoul,Asia,8244352,9962393,1718041,20.84%
Shanghai,Asia,11859700,24237800,12378100,104.37%
Tianjin,Asia,7764141,15621200,7857059,101.20%
Tokyo,Asia,11618000,13929286,2311286,19.89%
Toronto,North America,2137395,2731571,594176,27.80%
Vienna,Europe,1535145,1897491,362346,23.60%
